rank,candidate,score_total_50,demand_trend_10,competition_penetrability_10,price_band_fit_10,margin_fob_10,tiktok_10,verdict,key_fact,key_source
1,Saffron extract capsules 28-30mg,39,8,8,7,9,7,ANCHOR SKU,NA market 12.6% CAGR; top-20 has sub-500-review listings; JoySpring 6600+ TikTok Shop reviews,https://www.mordorintelligence.com/industry-reports/north-america-saffron-supplements-market
2,Sea moss gummies sugar-free,37,8,6,6,8,9,SKU 2,US sales $19.5M->$53.3M in 2025 (+173%); fragmented; gap: sugar-free heat-stable honest-dose,https://www.nutraingredients.com/Article/2026/01/22/sea-moss-is-the-trend-worth-its-salt/
3,Lion's Mane gummies 60ct,36,7,7,7,8,7,SKU 3,$20-50 band accepted; 2024-25 launches reach page 1; gummy dose fits $1.50 FOB unlike capsules,https://www.asinsight.com/report/US/lions-mane-gummies
4,Magnesium glycinate (drink format),35,10,6,5,7,10,BENCH,Toplux #2 product on ALL TikTok Shop US Q2'26 $14.2M/quarter; capsules price-anchored $10-20,https://www.fastmoss.com/blog/best-selling-tiktok-shop-products-us-q2-2026/
5,Beet root capsules/powder,32,7,5,7,7,6,BENCH,SuperBeets+Force Factor dominate; buyer 55+ not TikTok-native,https://www.asinsight.com/report/US/beetroot-capsules-supplements
6,Electrolyte stick packs,30,9,3,6,4,8,REJECT,FOB $3-5/box breaks cap; Liquid I.V./LMNT lock Amazon; Waterboy proves TikTok path but capital-heavy,https://www.smartscout.com/blog/amazon-electrolyte-brands
7,Mushroom coffee sticks,30,7,4,8,4,7,BENCH-LATE,FOB $2-3.50 over cap; RYZE ~$1.1M/day + possible bubble per Forbes,https://www.forbes.com/sites/chloesorvino/2026/01/09/mushroom-coffee-maker-ryze-could-be-the-next-billion-dollar-drink-or-a-warning-of-a-bubble/
8,Tongkat ali capsules,26,5,5,6,7,3,REJECT,TikTok bans muscle/sexual supplement claims - entire pitch is banned; fake-heavy category,https://www.echotik.live/blog/prohibited-products-list-on-tiktok-shop-2026/
9,L-theanine standalone,26,7,4,3,6,6,REJECT,price-anchored $10-22; commodity; 48% negative share on Drugs.com,https://www.asinsight.com/report/US/l-theanine-supplement
10,Ashwagandha,23,6,3,3,6,5,REJECT,Goli 53k reviews; anchored ~$15; TikTok restricts mental-health claims; ASA already fining anxiety ads,https://www.garagegymreviews.com/goli-ashwagandha-review
