product,factory,contact,basis,q700,q1000,q3000,q5000,to_miami_sea_add,composition_claimed,notes,date
Saffron 60caps 28-30mg,Honglan Health,Jenna sales@honglanhealth.com,EXW,1.35,1.20,0.98,0.92,+0.18,"3% crocin + 0.8% safranal, MCC carrier","cycle 28d prod + 32d sea = 60d; RED FLAG: verify crocin source saffron vs gardenia",2026-08-27
Sea moss gummies 60ct sugar-free,Honglan Health,Jenna,EXW,,,1.65,,+0.18,"150mg sea moss/gummy, stevia+erythritol","cannot reach $1.00 - honest refusal",2026-08-27
Lion's Mane gummies 60ct,Honglan Health,Jenna,EXW,,,1.72,,+0.18,"10:1 fruiting body extract 200mg/gummy, no mycelium/carrier claimed","cannot reach $1.00 - honest refusal",2026-08-27
Magnesium glycinate 120caps,Honglan Health,Jenna,EXW,,,0.88,0.82,+0.18,"elemental Mg 200mg/serving",,2026-08-27
Magnesium glycinate sticks 30ct,Honglan Health,Jenna,EXW,,,0.85,0.79,+0.18,"elemental Mg 150mg/stick",,2026-08-27
Beet root 120caps,Honglan Health,Jenna,EXW,,,0.86,,+0.18,"extract 2.5% nitrate, MCC",,2026-08-27
Electrolytes 30 sticks sugar-free,Honglan Health,Jenna,EXW,,,0.82,,+0.18,"Na180/K120/Mg30 per stick, stevia",,2026-08-27
Mushroom coffee 30 sticks,Honglan Health,Jenna,EXW,,,0.95,,+0.18,"150mg mixed extract LM+Chaga+Reishi",,2026-08-27
Tongkat Ali 60caps 200mg,Honglan Health,Jenna,EXW,,,0.96,,+0.18,"100:1 extract 200mg","TikTok category banned - Amazon only if used",2026-08-27
L-Theanine 60caps 200mg,Honglan Health,Jenna,EXW,,,0.85,,+0.18,"pure 200mg",,2026-08-27
Ashwagandha 60caps,Honglan Health,Jenna,EXW,,,0.89,,+0.18,"5% withanolide",,2026-08-27
Ashwagandha 60 gummies,Honglan Health,Jenna,EXW,,,1.68,,+0.18,,"cannot reach $1.00",2026-08-27
ALL,Nutreebio,Aurora Ma aurora@nutreebio.com,,,,,,,,"full quote promised within 3 days (by 29-30.08)",2026-08-27
ALL,ZOXIZO,Zoey Gao business@zoxizo.com,,,,,,,,"declined $1.00 as unrealistic for most SKUs; proposes 1-2 SKU focus; $200 R&D fee per custom formula (incl 2 flavors, 3 free optimization rounds, NDA, label review)",2026-08-27
Saffron 60caps,Rainwood,Sally,EXW,1.45,,,,,standardization NOT stated,@1000; likely gardenia too - ask; history: impossible 30:1 claim v1,2026-08-28
Sea moss gummies 60ct,Rainwood,Sally,EXW,1.35,,,,,"300mg/gummy, sweetener MALTITOL, 3g gummy",maltitol != our stevia sugar-free spec; ask stevia price,2026-08-28
Lion's Mane gummies 60ct,Rainwood,Sally,EXW,1.38,,,,,20:1 extract 500mg/gummy pectin,ARITHMETIC RED FLAG: 30g of 20:1 extract per bottle at $1.38 impossible - demand batch COA,2026-08-28
Magnesium glycinate 120caps,Rainwood,Sally,EXW,1.2,,,,,200mg elemental,,2026-08-28
Magnesium sticks 30ct,Rainwood,Sally,EXW,1.85,,,,,"3g stick, 400mg elemental",,2026-08-28
Beet root 120caps,Rainwood,Sally,EXW,1.2,,,,,powder,,2026-08-28
Electrolytes 30 sticks,Rainwood,Sally,EXW,2.9,,,,,Na500/K200/Mg60 sugar-free,spec heavier than ours,2026-08-28
Mushroom coffee 30 sticks,Rainwood,Sally,EXW,2.35,,,,,900mg extract/stick,spec heavier than ours,2026-08-28
Tongkat 60caps,Rainwood,Sally,EXW,1.18,,,,,0.2% eurycomanone,,2026-08-28
L-Theanine 60caps,Rainwood,Sally,EXW,1.23,,,,,200mg,,2026-08-28
Ashwagandha 60caps,Rainwood,Sally,EXW,1.25,,,,,2% withanolides,,2026-08-28
Ashwagandha 60 gummies,Rainwood,Sally,EXW,1.3,,,,,300mg/gummy 3g,,2026-08-28
ALL sticks,Healthway,Lynn,FOB,,,,,,,MOQ sticks 30000 - out; fruiting body + MALTODEXTRIN disclosed; COA internal only; 70pct advance; 1usd refused; prod 20-25d; samples caps/powder only,2026-08-28
Saffron GENUINE Crocus,Honglan,Jenna,,,,,,,,ADMITTED 0.98 version = Gardenia jasminoides; genuine Crocus quote after formula final - cost rises significantly,2026-08-28
ALL,Honglan,Jenna,,,,,,,,MOQ 1000/SKU trial 500; price lock and timeline ONLY after final formula+packaging; price incl bottle/seal/label; payment wording unclear - clarify,2026-08-28
Coffee/Electrolytes pouches,ZOXIZO,Zoey,,,,,,,"coffee 3.80-4.20, electrolytes 3.20-4.30 per 30-stick pouch",MOQ 20000 sticks/flavor ~667 pouches; premium FSSC22000; owner decision: pass,2026-08-28
ALL,Makers Nutrition (US),Nico,,,,,,,,"DECLINED 28.08: US stock products start ~\$6/bottle, no path to \$1.00; polite exit, door open if targets change",2026-08-28
CLARIFICATIONS,Rainbow Biotech,Jenny Cai jenny.cai@rainbowextract.com,,,,,,,,"30-31.08: asked potency/capsule/packaging before quoting; answered with full spec table + saffron source question + Sept 2 deadline",2026-08-31
Saffron 60caps,Nutreebio,Aurora,EXW,,,,,,"10:1 extract FROM STIGMA 30mg/cap","MOQ 2000; $3.10; validity 30.09; T/T 100% advance; lead 30d",2026-08-31
Sea moss gummies 60ct,Nutreebio,Aurora,EXW,,,,,,"~500mg whole plant/2 gummies","MOQ 800; $3.30",2026-08-31
Lion's Mane gummies 60ct,Nutreebio,Aurora,EXW,,,,,,"FB extract 10:1 500mg/2 gummies","MOQ 800; $3.10",2026-08-31
Magnesium caps 120ct,Nutreebio,Aurora,EXW,,,,,,150mg elemental/2caps,"MOQ 2000; $3.20",2026-08-31
Magnesium powder 180g pouch,Nutreebio,Aurora,EXW,,,,,,200mg elemental/6g,"MOQ 1000; $2.40",2026-08-31
Beetroot caps 120ct,Nutreebio,Aurora,EXW,,,,,,10:1 500mg,"MOQ 1000; $3.34",2026-08-31
Electrolyte powder 180g pouch,Nutreebio,Aurora,EXW,,,,,,Na392/K200/Mg80 per 6g,"MOQ 1000; $4.50",2026-08-31
Mushroom coffee powder 180g,Nutreebio,Aurora,EXW,,,,,,500mg blend/6g,"MOQ 1000; $2.50",2026-08-31
Tongkat caps,Nutreebio,Aurora,EXW,,,,,,10:1 200mg,"MOQ 2000; $2.30",2026-08-31
L-Theanine caps,Nutreebio,Aurora,EXW,,,,,,200mg 99%,"MOQ 2000; $2.30",2026-08-31
Ashwagandha caps,Nutreebio,Aurora,EXW,,,,,,"10:1 std withanolides 600mg","MOQ 2000; $3.12",2026-08-31
Ashwagandha gummies,Nutreebio,Aurora,EXW,,,,,,300mg,"MOQ 800; $3.30",2026-08-31
ALL,Rainbow Biotech,Jenny Cai,,,,,,,,"DECLINED 01.09: all prices above target at these quantities; open to larger volumes later. Favourite OUT",2026-09-01
